Response Time (ns)
169573200
335119000
335435700
340219800
340229000
339220700
338763500
171864400
342465500
345789300
344936200
166627600
165432200
169110500
166268300
167746200
167796600
166384800
166495100
164212500
166481200
167353100
164633900
165693000
166157900
165980700
166042300
166091400
165523300
167470600
164788900
166250400
166588700
165337800
163999100
169871500
165470300
165396000
164835500
164405800
167736500
166856400
166872300
166924400
168452400
166420600
165189500
166544500
164977300
167338700
166749800
167150000
168222600
168009500
169458500
169328100
168509700
168639900
167748600
169975800
166882700
167096500
167284600
168532000
168805800
170037800
168582500
170087200
166712100
167205900
250884400
165037700
167620700
166167100
168899500
167475700
167458400
167968200
167586500
166221600
165127200
166386400
164709700
165010200
164617500
165814600
165777800
165356000
167676400
167819800
167150500
165765700
165569500
166899100
165828700
164909700
166858500
167071500
166050200
167089600
166726500
167676000
166646500
166247500
166469600
166852700
164552500
164587700
166169400
167220900
166047700
166105500
168664700
167122800
167566800
167333200
167965900
168557900
166203400
167686900
166271100
165243300
167897000
167882200
167746300
168940200
168707000
172184000
168908100
169902100
165978200
165247800
168745200
168731900
169766400
170885400
171576200
172576400
168470200
166344400
167584500
169533000
166960700
166998600
167019300
168480200
168628700
169683100
169359100
171760800
165850900
166522100
164331400
164391100
164394500
164757400
164749500
167020800
167070100
166038100
165442300
163815300
164835000
164835900
164998100
168936600
168934200
166079400
166258600
165321800
166114300
167391100
170015700
170060600
170003900
166722000
166760600
166356300
166580200
166680200
165652700
165304400
165002000
165110200
166385100
168938500
168758400
168997700
168556200
169048600
165441200
83152200
167999300
164488000
164380900
165388000
164616200
165863400
166899400
167187500
167071100
83058600
83672000
82188300
82215100
82734000
82793700
82616800
82754200
85380300
83555700
83219600
82569700
82602000
81795800
81744200
165545900
83192300
83137400
83368500
83111400
84744500
84694600
84937300
82923100
81608600
82670400
82797200
83852600
82475000
82114900
82113500
82076200
82038900
82394000
168034100
83682300
83627700
86162700
89616800
83885300
83819500
83878200
83970400
88536600
82239000
82257100
87188100
86501600
86534500
86518600
86588600
86432500
83811000
83865900
83921000
174854300
83392600
83836500
83915000
83858200
84028000
84616900
85200900
85260500
85268800
86345300
84953800
85085300
84329900
85263200
85619200
95859100
96014400
96099200
173445100
85259700
83502800
83557700
82856300
83731900
84016200
86688500
86692300
86220700
85587100
87489000
87457400
86950500
87444200
83573600
83485500
83612200
83825000
170519300
170231100
171508300
166704400
167242300
168319200
